bottle	NOORDWK2_2019001609	31	1	19	0	0.00	0.00	26.660	4.000	0.00	0.0
25.000	26.660	0.000	0.000
0.000	181.000	25.000
0.600	255.950	25.000
0.750	264.900	25.000
0.900	272.450	25.000
1.050	279.450	25.000
1.200	285.950	25.000
1.350	292.500	25.000
1.500	299.250	25.000
1.650	306.500	25.000
1.800	314.650	25.000
1.950	324.250	25.000
2.100	336.800	25.000
2.250	356.000	25.000
2.400	388.950	25.000
2.550	416.350	25.000
2.700	430.950	25.000
2.850	440.400	25.000
3.000	447.400	25.000
3.150	453.000	25.000
3.300	457.500	25.000
3.450	461.400	25.000
3.600	464.800	25.000
3.750	467.700	25.000
3.900	470.300	25.000
4.050	472.800	25.000
