bottle	TERSLG10_2018005695	16	4	18	0	0.00	0.00	32.000	4.000	0.00	0.0
25.000	32.000	0.000	0.000
0.000	164.500	25.000
0.600	247.600	25.000
0.750	258.450	25.000
0.900	267.500	25.000
1.050	275.300	25.000
1.200	282.550	25.000
1.350	289.500	25.000
1.500	296.550	25.000
1.650	304.000	25.000
1.800	312.250	25.000
1.950	321.800	25.000
2.100	334.200	25.000
2.250	352.350	25.000
2.400	383.800	25.000
2.550	412.550	25.000
2.700	427.950	25.000
2.850	437.700	25.000
3.000	444.900	25.000
3.150	450.650	25.000
3.300	455.250	25.000
3.450	459.200	25.000
3.600	462.600	25.000
3.750	465.600	25.000
3.900	468.200	25.000
4.050	470.700	25.000
